producto_key,modo,item
vida,Con intermediario,Cédula
vida,Con intermediario,Fecha de nacimiento
vida,Con intermediario,Género
vida,Con intermediario,¿Conduce moto? Sí/No
vida,Con intermediario,¿Actividades de alto riesgo? Sí/No
vida,Con intermediario,Valor a asegurar
vida,Con intermediario,Ocupación o profesión
vida,Con intermediario,— Vida oneroso: valor del crédito
vida,Con intermediario,— Vida ahorro: valor de la póliza + ahorro mensual deseado
salud,Con intermediario,Cédula
salud,Con intermediario,Fecha de nacimiento
salud,Con intermediario,Ciudad
salud,Con intermediario,"Preexistencias (diabetes, cáncer, VIH, etc.)"
salud,Con intermediario,"Coberturas preferidas (maternidad, cáncer, alto costo)"
salud,Con intermediario,Ocupación
educacion,Con intermediario,Cédula del asegurado (quien compra el seguro)
educacion,Con intermediario,Fecha de nacimiento del asegurado
educacion,Con intermediario,Ocupación
educacion,Con intermediario,Ciudad de residencia
educacion,Con intermediario,Fecha de nacimiento del hijo
educacion,Con intermediario,Grado de escolaridad
educacion,Con intermediario,"Valor mensual o anual que está dispuesto a invertir en la educación del hijo, o valor que desea asegurar para sus estudios"
exequial,Sin intermediario,Cédula del afiliado principal
exequial,Sin intermediario,"Grupo familiar (padres, hijos, tíos, hermanos, primos)"
exequial,Sin intermediario,Edades de cada uno
mascotas,Sin intermediario,Cédula del propietario
mascotas,Sin intermediario,Género del propietario
mascotas,Sin intermediario,Fecha de nacimiento
mascotas,Sin intermediario,Tipo de mascota (perro/gato)
mascotas,Sin intermediario,Edad de la mascota
mascotas,Sin intermediario,Raza (define si es de alta peligrosidad)
mascotas,Sin intermediario,Género de la mascota
autos,Sin intermediario,Placa
autos,Sin intermediario,"Si es 0 km: marca, referencia y modelo"
autos,Sin intermediario,Cédula del propietario
autos,Sin intermediario,Género
autos,Sin intermediario,Fecha de nacimiento
autos,Sin intermediario,Ciudad de circulación
hogar,Sin intermediario,Cédula del propietario
hogar,Sin intermediario,¿Vivienda propia o arrendada?
hogar,Sin intermediario,Estrato (dirección)
hogar,Sin intermediario,Valor comercial del inmueble
hogar,Sin intermediario,"Tipo: casa, apto o finca recreo"
hogar,Sin intermediario,Sector rural o urbano
hogar,Sin intermediario,Ciudad
bicicletas,Sin intermediario,Cédula
bicicletas,Sin intermediario,Fecha de nacimiento
bicicletas,Sin intermediario,Ciudad de residencia
bicicletas,Sin intermediario,Valor del equipo (bicicleta o patineta eléctrica)
accidentes,Sin intermediario,(sin ítems declarados)
renta,Con intermediario,(sin ítems declarados)
cancer,Con intermediario,(sin ítems declarados)
arrendamiento,Sin intermediario,(sin ítems declarados)
